alpaka
apella csuklyásmajom
axis vagy pettyes szarvas
ázsiai elefánt
bennett kenguru
mókusmajom
borjúfóka
böhm-zebra
csimpánz
dromedár
dzselada pávián
ecsetfülű disznó
guanakó
gyűrűsfarkú maki vagy katta
házi nyúl
hópárduc
huszármajom
impala
indiai antilop
kamcsatkai medve
kameruni juh
kameruni törpekecske
kapibara vagy vízidisznó
kárpáti hiúz
kecske
kétpúpú teve
kétujjú lajhár
kis panda
közönséges selyemmajom
közönséges tapír
láma
mosómedve
nyest
ormányos medve
oroszlán
pampanyúl vagy nagy mara
rothschild-zsiráf
sivatagi róka
sörényes juh
szélesszájú orrszarvú
szervál
szibériai tigris
szomáli juh
szurikáta
tarajos sül
tengerimalac
vörös vari
watussi marha
zambézi mocsáriantilop
zászlósfarkú kolobusz
