afrikai apróegér (törpeegér)
afrikai ecsetfarkú pele
akáciapatkány
alpaka
arany aguti
arany oroszlánmajmocska
aranyhasú mangábe
ázsiai elefánt
ázsiai vadkutya (vörös dól)
barnamedve - szíriai
bennett kenguru
bojtosfülű (ecsetfülű) disznó
borjúfóka
böhm-zebra
császárbajszú tamarin
csíkos fűegér
csíkos hiéna
csincsilla
csupasz turkáló
cukormókus, kis siklóerszényes
defassa-víziantilop
degu
dél-amerikai tapír
derby kenguru - tammar wallaby
ecsetfarkú patkánykenguru
egyiptomi tüskésegér
éji majom
északi mókuscickány
falabella póni
farksodró (kinkaju)
fehérhomlokú selyemmajom
fehérorrú koati, ormányos medve
fekete v. szerecsenmaki
fekete-fehér vari
foltos erszényesnyest v. quoll
földi kuszkusz
földimalac
galléros pávián
gundi
haflingi kisló
halvány vámpírdenevér
házi egér
házi juh (cigája)
házi juh (gyimesi racka)
házi juh (kameruni törpejuh)
házi macska
házi szamár
házinyúl
hosszúorrú potoró
hucul
indiai antilop
indiai tarajos sül
jávai langur
kaliforniai oroszlánfóka
kameruni törpekecske
kétpúpú teve, baktrián
kétujjú lajhár
kínai muntyákszarvas
kis panda
koala
kovari
közönséges maki (katta)
közönséges víziló
láma
luzoni kéregpatkány (ködpatkány)
lyle-repülőkutya
mangalica
manul v. pallas macskája
mhorr gazella
mókus
mókusmajom
mongol futóegér
mosómedve
muflon
nagy mara
nagy ugróegér
négyszarvú (jacob) juh
nutria
nyala
nyugati síkvidéki gorilla
nyugati szürke óriáskenguru
óriásvidra
párduc - perzsa
perzsa oroszlán
prérikutya
rókakuzu
rókamanguszta
rövidcsőrű hangyászsün
rövidfülű elefántcickány
seba rövidfarkú denevér
sivatagi futóegér
sivatagi róka
sörényes hangyász
sörényes juh
szarvasmarha, jersey
szarvasmarha, magyar tarka
szélesszájú orrszarvú
szibériai tigris
szőrös babirusza
szőrös tatu
szumátrai orangután
szurikáta
tengerimalac
törpe erszényesegér (tollfarkú rep. ersz
törpe mongúz
törpe selyemmajom
törpe zebu
törpeegér
üregi nyúl
vadászgörény
vaddisznó
vándorpatkány
vízidisznó v kapibara
vombat
vörös bivaly (törpe kafferbivaly)
vörös róka
vörös vari
vöröshomlokú maki
vöröskezű tamarin
vörösorrú koati, ormányos medve
zebramanguszta
zöld v. azara aguti
zsiráf
